0	0	0	0	0	40	0	0	60
10	0	0	10	0	30	10	0	60
20	0	0	20	0	22	20	0	60
30	0	0	30	0	16	30	0	60
40	0	0	40	0	12	40	0	60
50	0	0	50	0	10	50	0	60
60	0	0	60	0	8	60	0	60
70	0	0	70	0	10	70	0	60
80	0	0	80	0	12	80	0	60
90	0	0	90	0	20	90	0	60
100	0	0	100	0	45	100	0	60
110	0	0	110	0	48	110	0	60
120	0	0	120	0	50	120	0	60
130	0	0	130	0	50	130	0	60
140	0	0	140	0	50	140	0	60
150	0	0	150	0	45	150	0	60
160	0	0	160	0	36	160	0	60
170	0	0	170	0	28	170	0	60
180	0	0	180	0	22	180	0	60
190	0	0	190	0	16	190	0	60
200	0	0	200	0	15	200	0	60
