0	0	0	0	0	0	0	0	0	0	0	70
10	0	0	10	0	0	10	0	0	10	0	70
20	0	0	20	0	0	20	0	0	20	0	66
30	0	0	30	0	0	30	0	0	30	0	50
40	0	0	40	0	0	40	0	0	40	0	50
50	0	0	50	0	0	50	0	0	50	0	60
60	0	0	60	0	0	60	0	0	60	0	50
70	0	0	70	0	0	70	0	0	70	0	60
80	0	0	80	0	0	80	0	0	80	0	80
90	0	0	90	0	0	90	0	0	90	0	100
100	0	0	100	0	0	100	0	45	100	0	135
110	0	0	110	0	50	110	0	100	110	0	144
120	0	0	120	0	100	120	0	150	120	0	150
130	0	0	130	0	150	130	0	150	130	0	150
140	0	0	140	0	150	140	0	150	140	0	150
150	0	0	150	0	135	150	0	135	150	0	135
160	0	0	160	0	108	160	0	108	160	0	108
170	0	0	170	0	84	170	0	84	170	0	84
180	0	0	180	0	66	180	0	66	180	0	66
190	0	0	190	0	48	190	0	48	190	0	48
200	0	0	200	0	45	200	0	45	200	0	45
